date,ticker,open,high,low,close,volume,is_extended_hours,year,month,day,hour
2023-12-01 16:00:00+00:00,AAPL,191.21,191.21,191.2,191.21,202,False,2023,12,1,16
2023-12-01 15:00:00+00:00,AAPL,191.28,191.38,190.88,191.15,182247,False,2023,12,1,15
2023-12-01 14:00:00+00:00,AAPL,191.21,191.34,190.92,191.27,100877,False,2023,12,1,14
2023-12-01 13:00:00+00:00,AAPL,191.52,191.55,190.83,191.17,122182,False,2023,12,1,13
2023-12-01 12:00:00+00:00,AAPL,191.05,191.54,190.99,191.52,118471,False,2023,12,1,12
2023-12-01 11:00:00+00:00,AAPL,190.37,191.24,190.2,191.04,211402,False,2023,12,1,11
2023-12-01 10:00:00+00:00,AAPL,190.24,190.5,189.92,190.32,233735,False,2023,12,1,10
2023-12-01 09:00:00+00:00,AAPL,190.31,190.49,189.24,189.98,140126,False,2023,12,1,9
2023-11-30 16:00:00+00:00,AAPL,189.89,189.91,189.88,189.89,1080,False,2023,11,30,16
2023-11-30 15:00:00+00:00,AAPL,189.18,190.2,188.69,189.9,216332,False,2023,11,30,15
2023-11-30 14:00:00+00:00,AAPL,188.52,189.21,188.51,189.18,57826,False,2023,11,30,14
2023-11-30 13:00:00+00:00,AAPL,188.68,188.76,188.3,188.51,50796,False,2023,11,30,13
2023-11-30 12:00:00+00:00,AAPL,188.26,188.75,188.23,188.72,55440,False,2023,11,30,12
2023-11-30 11:00:00+00:00,AAPL,188.74,188.91,188.2,188.24,117740,False,2023,11,30,11
2023-11-30 10:00:00+00:00,AAPL,189.21,189.35,188.34,188.76,126410,False,2023,11,30,10
2023-11-30 09:00:00+00:00,AAPL,189.91,190.21,189.07,189.19,77464,False,2023,11,30,9
2023-11-29 16:00:00+00:00,AAPL,189.35,189.35,189.35,189.35,14,False,2023,11,29,16
2023-11-29 15:00:00+00:00,AAPL,189.34,189.45,188.97,189.36,213834,False,2023,11,29,15
2023-11-29 14:00:00+00:00,AAPL,189.47,189.5,189.06,189.33,78399,False,2023,11,29,14
2023-11-29 13:00:00+00:00,AAPL,189.72,189.76,189.18,189.47,95851,False,2023,11,29,13
2023-11-29 12:00:00+00:00,AAPL,189.92,189.93,189.53,189.7,82683,False,2023,11,29,12
2023-11-29 11:00:00+00:00,AAPL,190.94,190.95,189.92,189.93,150576,False,2023,11,29,11
2023-11-29 10:00:00+00:00,AAPL,191.76,191.82,190.6,190.92,176384,False,2023,11,29,10
2023-11-29 09:00:00+00:00,AAPL,190.94,192.08,190.92,191.74,78813,False,2023,11,29,9
2023-11-28 15:00:00+00:00,AAPL,190.05,190.38,189.59,190.27,141435,False,2023,11,28,15
2023-11-28 14:00:00+00:00,AAPL,189.91,190.11,189.68,190.03,92148,False,2023,11,28,14
2023-11-28 13:00:00+00:00,AAPL,190.26,190.28,189.78,189.89,93021,False,2023,11,28,13
